iter	Passed	Remaining
424	1920	2597
425	1924	2593
426	1928	2588
427	1932	2583
428	1936	2578
429	1941	2572
430	1945	2567
431	1949	2562
432	1953	2558
433	1958	2553
434	1962	2548
435	1966	2543
436	1970	2539
437	1974	2533
438	1978	2528
439	1980	2521
440	1985	2516
441	1989	2511
442	1993	2506
443	1998	2502
444	2002	2497
445	2006	2492
446	2010	2487
447	2014	2482
448	2019	2477
449	2023	2473
450	2028	2468
451	2032	2464
452	2036	2459
453	2040	2454
454	2045	2449
455	2049	2444
456	2053	2439
457	2057	2434
458	2061	2430
459	2066	2425
460	2070	2420
461	2074	2416
462	2079	2411
463	2083	2406
464	2087	2401
465	2091	2397
466	2096	2392
467	2100	2387
468	2104	2383
469	2109	2378
470	2113	2374
471	2118	2369
472	2122	2364
473	2127	2360
474	2131	2355
475	2135	2351
476	2138	2344
477	2142	2339
478	2147	2335
479	2151	2331
480	2156	2326
481	2160	2321
482	2164	2316
483	2166	2310
484	2171	2305
485	2175	2300
486	2179	2296
487	2184	2291
488	2188	2287
489	2193	2282
490	2197	2278
491	2202	2273
492	2206	2269
493	2210	2264
494	2215	2260
495	2219	2255
496	2224	2251
497	2229	2246
498	2233	2242
499	2238	2238
500	2243	2234
501	2247	2229
502	2251	2225
503	2256	2220
504	2260	2215
505	2264	2211
506	2269	2206
507	2273	2202
508	2278	2197
509	2282	2192
510	2286	2187
511	2290	2183
512	2294	2178
513	2299	2174
514	2303	2169
515	2308	2165
516	2312	2160
517	2316	2155
518	2321	2151
519	2325	2146
520	2330	2142
521	2334	2137
522	2339	2133
523	2343	2128
524	2347	2124
525	2352	2119
526	2356	2115
527	2361	2110
528	2365	2106
529	2370	2101
530	2374	2097
531	2378	2092
532	2382	2087
533	2386	2083
534	2391	2078
535	2395	2074
536	2400	2069
537	2404	2064
538	2408	2060
539	2413	2055
540	2417	2050
541	2421	2046
542	2426	2042
543	2430	2037
544	2435	2033
545	2439	2028
546	2443	2023
547	2447	2018
548	2452	2014
549	2456	2010
550	2461	2005
551	2466	2001
552	2470	1996
553	2474	1992
554	2478	1987
555	2483	1983
556	2487	1978
557	2492	1974
558	2497	1969
559	2501	1965
560	2505	1960
561	2509	1956
562	2514	1951
563	2518	1946
564	2522	1942
565	2527	1937
566	2532	1933
567	2536	1928
568	2540	1924
569	2544	1919
570	2548	1914
571	2553	1910
572	2557	1905
573	2561	1901
574	2565	1896
575	2569	1891
576	2574	1887
577	2578	1882
578	2583	1878
579	2587	1873
580	2591	1869
581	2595	1864
582	2600	1859
583	2604	1855
584	2608	1850
585	2613	1846
586	2617	1841
587	2621	1836
588	2626	1832
589	2630	1827
590	2634	1823
591	2639	1818
592	2643	1814
593	2647	1809
594	2652	1805
595	2656	1800
596	2660	1796
597	2665	1791
598	2669	1786
599	2673	1782
600	2677	1777
601	2681	1773
602	2686	1768
603	2690	1764
604	2695	1759
605	2699	1755
606	2704	1750
607	2708	1746
608	2712	1741
609	2717	1737
610	2721	1732
611	2725	1727
612	2729	1723
613	2733	1718
614	2737	1713
615	2742	1709
616	2746	1705
617	2751	1700
618	2755	1696
619	2760	1691
620	2764	1687
621	2768	1682
622	2772	1678
623	2777	1673
624	2781	1668
625	2785	1664
626	2789	1659
627	2794	1655
628	2798	1650
629	2802	1645
630	2807	1641
631	2811	1637
632	2815	1632
633	2820	1628
634	2824	1623
635	2828	1618
636	2832	1614
637	2837	1609
638	2842	1605
639	2846	1601
640	2851	1596
641	2856	1592
642	2860	1588
643	2865	1583
644	2869	1579
645	2874	1574
646	2878	1570
647	2882	1565
648	2886	1561
649	2890	1556
650	2894	1551
651	2898	1547
652	2903	1542
653	2907	1538
654	2911	1533
655	2915	1529
656	2920	1524
657	2924	1519
658	2928	1515
659	2933	1510
660	2937	1506
661	2941	1501
662	2945	1497
663	2950	1492
664	2954	1488
665	2958	1483
666	2962	1479
667	2967	1474
668	2971	1470
669	2975	1465
670	2979	1460
671	2983	1456
672	2987	1451
673	2991	1447
674	2996	1442
675	3000	1438
676	3004	1433
677	3008	1428
678	3012	1424
679	3016	1419
680	3020	1415
681	3025	1410
682	3029	1406
683	3033	1401
684	3037	1396
685	3042	1392
686	3046	1388
687	3051	1383
688	3055	1379
689	3060	1375
690	3065	1371
691	3070	1366
692	3074	1362
693	3079	1357
694	3082	1352
695	3087	1348
696	3092	1344
697	3097	1339
698	3101	1335
699	3105	1330
700	3109	1326
701	3114	1321
702	3118	1317
703	3123	1313
704	3127	1308
705	3132	1304
706	3136	1299
707	3140	1295
708	3145	1290
709	3149	1286
710	3153	1281
711	3158	1277
712	3162	1273
713	3167	1268
714	3171	1264
715	3176	1259
716	3180	1255
717	3185	1250
718	3189	1246
719	3194	1242
720	3198	1237
721	3203	1233
722	3208	1229
723	3212	1224
724	3217	1220
725	3221	1215
726	3226	1211
727	3230	1206
728	3234	1202
729	3239	1198
730	3243	1193
731	3247	1189
732	3252	1184
733	3256	1180
734	3260	1175
735	3265	1171
736	3269	1166
737	3273	1162
738	3278	1157
739	3282	1153
740	3286	1148
741	3290	1144
742	3294	1139
743	3299	1135
744	3302	1130
745	3307	1125
746	3311	1121
747	3316	1117
748	3320	1112
749	3325	1108
750	3329	1104
751	3334	1099
752	3338	1095
753	3343	1090
754	3348	1086
755	3352	1081
756	3356	1077
757	3360	1072
758	3365	1068
759	3369	1064
760	3373	1059
761	3378	1055
762	3382	1050
763	3386	1046
764	3390	1041
765	3395	1037
766	3399	1032
767	3403	1028
768	3408	1023
769	3412	1019
770	3416	1014
771	3421	1010
772	3425	1005
773	3430	1001
774	3434	997
775	3439	992
776	3443	988
777	3448	983
778	3452	979
779	3456	974
780	3461	970
781	3465	966
782	3470	961
783	3474	957
784	3479	952
785	3483	948
786	3488	944
787	3492	939
788	3497	935
789	3501	930
790	3505	926
791	3510	921
792	3514	917
793	3518	912
794	3523	908
795	3527	903
796	3531	899
797	3535	894
798	3539	890
799	3544	886
800	3548	881
801	3552	877
802	3556	872
803	3561	868
804	3565	863
805	3569	859
806	3574	854
807	3578	850
808	3582	845
809	3586	841
810	3590	836
811	3595	832
812	3599	828
813	3604	823
814	3608	819
815	3612	814
816	3616	810
817	3620	805
818	3625	801
819	3629	796
820	3633	792
821	3637	787
822	3642	783
823	3646	778
824	3650	774
825	3654	769
826	3659	765
827	3663	761
828	3668	756
829	3672	752
830	3676	747
831	3680	743
832	3685	738
833	3689	734
834	3693	729
835	3697	725
836	3702	720
837	3706	716
838	3710	712
839	3714	707
840	3718	703
841	3722	698
842	3727	694
843	3731	689
844	3735	685
845	3739	680
846	3743	676
847	3748	671
848	3752	667
849	3756	662
850	3760	658
851	3764	654
852	3769	649
853	3773	645
854	3778	640
855	3782	636
856	3786	631
857	3791	627
858	3795	622
859	3799	618
860	3803	614
861	3807	609
862	3812	605
863	3816	600
864	3820	596
865	3824	591
866	3828	587
867	3832	582
868	3837	578
869	3841	573
870	3845	569
871	3849	565
872	3854	560
873	3858	556
874	3862	551
875	3866	547
876	3870	542
877	3875	538
878	3879	534
879	3884	529
880	3888	525
881	3892	520
882	3896	516
883	3900	511
884	3904	507
885	3909	502
886	3913	498
887	3917	494
888	3921	489
889	3926	485
890	3930	480
891	3934	476
892	3938	471
893	3943	467
894	3947	463
895	3951	458
896	3955	454
897	3960	449
898	3964	445
899	3968	440
900	3972	436
901	3976	432
902	3981	427
903	3985	423
904	3989	418
905	3993	414
906	3997	409
907	4001	405
908	4006	401
909	4010	396
910	4015	392
911	4019	387
912	4023	383
913	4028	379
914	4032	374
915	4036	370
916	4041	365
917	4045	361
918	4049	356
919	4053	352
920	4058	348
921	4062	343
922	4066	339
923	4071	334
924	4075	330
925	4079	326
926	4084	321
927	4088	317
928	4093	312
929	4097	308
930	4101	303
931	4105	299
932	4110	295
933	4114	290
934	4118	286
935	4123	281
936	4127	277
937	4131	273
938	4136	268
939	4140	264
940	4144	259
941	4149	255
942	4153	251
943	4157	246
944	4162	242
945	4166	237
946	4170	233
947	4174	228
948	4178	224
949	4182	220
950	4186	215
951	4190	211
952	4195	206
953	4199	202
954	4203	198
955	4207	193
956	4212	189
957	4216	184
958	4220	180
959	4225	176
960	4229	171
961	4234	167
962	4238	162
963	4242	158
964	4246	154
965	4251	149
966	4256	145
967	4260	140
968	4265	136
969	4269	132
970	4274	127
971	4278	123
972	4283	118
973	4287	114
974	4292	110
975	4297	105
976	4301	101
977	4306	96
978	4311	92
979	4315	88
980	4320	83
981	4324	79
982	4328	74
983	4333	70
984	4337	66
985	4342	61
986	4346	57
987	4350	52
988	4355	48
989	4360	44
990	4364	39
991	4369	35
992	4373	30
993	4378	26
994	4382	22
995	4387	17
996	4392	13
997	4396	8
998	4401	4
999	4406	0
