iter	Logloss
0	0.6854109925
1	0.6768187549
2	0.6705316875
3	0.6628087963
4	0.6550538089
5	0.6474850031
6	0.6393662737
7	0.6306072011
8	0.6231543136
9	0.6160446881
10	0.6123100078
11	0.6044501517
12	0.5991509798
13	0.5925164006
14	0.5871739212
15	0.5820389939
16	0.5762670828
17	0.5698539382
18	0.5650095754
19	0.5587465902
20	0.5529905046
21	0.5470295787
22	0.5409883925
23	0.5352059985
24	0.5301723782
25	0.5270660201
26	0.5222831378
27	0.5182118736
28	0.5142734055
29	0.5102437893
30	0.5059176184
31	0.501279391
32	0.497860167
33	0.4943977974
34	0.4910222451
35	0.4863659257
36	0.4821889429
37	0.4776786141
38	0.4765718053
39	0.4734935363
40	0.4707132793
41	0.4668164592
42	0.4626663107
43	0.4591512437
44	0.4555042711
45	0.4520586579
46	0.4485608329
47	0.4466657072
48	0.4435113062
49	0.4399157359
50	0.4378988231
51	0.4356032047
52	0.4328130315
53	0.4311865738
54	0.4278729876
55	0.4251562346
56	0.423022918
57	0.4206657787
58	0.4179634751
59	0.4151006506
60	0.4124811572
61	0.4107284199
62	0.4082403464
63	0.4056185056
64	0.4026951316
65	0.4001851616
66	0.3975130922
67	0.3958479007
68	0.393757001
69	0.3920327576
70	0.3897113166
71	0.3875369591
72	0.3855869907
73	0.3838236492
74	0.3816200692
75	0.3798665629
76	0.3782864887
77	0.3768621999
78	0.3754271045
79	0.3743346236
80	0.3719807628
81	0.3704612785
82	0.3689715834
83	0.3677115391
84	0.3660490998
85	0.3648926291
86	0.3634033791
87	0.3615968516
88	0.3604037112
89	0.3593196085
90	0.357657493
91	0.3559448657
92	0.3547504706
93	0.3527937431
94	0.3511938365
95	0.3501637669
96	0.348499142
97	0.3475842621
98	0.3467773675
99	0.3457429267
100	0.3435189477
101	0.3424969729
102	0.3414059491
103	0.3404831362
104	0.339112658
105	0.3372539388
106	0.3361777893
107	0.3352663497
108	0.3338891527
109	0.3323560286
110	0.331487431
111	0.3304103101
112	0.3295040715
113	0.3286344822
114	0.3278308256
115	0.3267892815
116	0.3252986757
117	0.3236614316
118	0.3222172093
119	0.3210959107
120	0.3203946741
121	0.3189557944
122	0.3169743168
123	0.3162370177
124	0.315247564
125	0.3145961917
126	0.3138308439
127	0.3128132808
128	0.3119366693
129	0.3108427516
130	0.3101721337
131	0.3094362107
132	0.3087036875
133	0.3079394326
134	0.3065907294
135	0.3058005102
136	0.3050244165
137	0.3040675041
138	0.3028642047
139	0.3021406668
140	0.3015506737
141	0.3002762206
142	0.2998950746
143	0.2992632918
144	0.2987086529
145	0.298020955
146	0.2973251419
147	0.2962192641
148	0.2955197679
149	0.2949126137
150	0.2943080498
151	0.2938195257
152	0.2932297349
153	0.2925307446
154	0.2916788427
155	0.2912273524
156	0.290019439
157	0.2892490926
158	0.2885293391
159	0.2879567903
160	0.2867585907
161	0.2856873183
162	0.2850015631
163	0.2846184541
164	0.283376603
165	0.2827257366
166	0.2821726965
167	0.2813172935
168	0.2808497755
169	0.280265044
170	0.2797054875
171	0.2793506093
172	0.2784352639
173	0.2777795002
174	0.2772999208
175	0.2766261055
176	0.2760841149
177	0.2756298319
178	0.274874036
179	0.2745627688
180	0.2740866703
181	0.2737189212
182	0.2733653989
183	0.2726616934
184	0.2724958097
185	0.2722911517
186	0.2713024265
187	0.2706006637
188	0.2702461903
189	0.2693520939
190	0.2689326188
191	0.2685015681
192	0.268105143
