iter	Logloss
0	0.6847358821
1	0.6770578362
2	0.6710385061
3	0.6629718265
4	0.6551681486
5	0.648591569
6	0.6393118763
7	0.6315940038
8	0.6237172699
9	0.6166719175
10	0.6120637625
11	0.6050284073
12	0.5985983444
13	0.5931276427
14	0.5862151673
15	0.5810229283
16	0.5750598169
17	0.5686746805
18	0.5639536832
19	0.5579515546
20	0.5511342746
21	0.5461421404
22	0.5409140413
23	0.5372989624
24	0.5319929504
25	0.5282133032
26	0.5232733402
27	0.5181433912
28	0.5134487832
29	0.5092482847
30	0.5045107335
31	0.5003339935
32	0.4958371426
33	0.4914714688
34	0.4882708867
35	0.484169105
36	0.4802347247
37	0.4764464565
38	0.4740776607
39	0.4708172576
40	0.4681756654
41	0.4646103698
42	0.4604696114
43	0.4569201817
44	0.4538555931
45	0.450005885
46	0.4474632927
47	0.4451976657
48	0.4415345439
49	0.4386648387
50	0.4367472498
51	0.4339589789
52	0.4311002018
53	0.4290574665
54	0.4257695005
55	0.4229618828
56	0.4208624836
57	0.4174796459
58	0.4142445393
59	0.4119293313
60	0.4099886721
61	0.4078955868
62	0.4055331454
63	0.4026500838
64	0.4001897757
65	0.397954221
66	0.3954317849
67	0.3927086775
68	0.3905125044
69	0.3890600455
70	0.3866609749
71	0.3846428075
72	0.382018781
73	0.3806749146
74	0.3783125136
75	0.3764753471
76	0.3746936302
77	0.3729916071
78	0.3715679254
79	0.369310029
80	0.3663784388
81	0.3647232039
82	0.3631361277
83	0.3615983896
84	0.3595432692
85	0.3584286893
86	0.3572351847
87	0.3557135149
88	0.3543696889
89	0.3531338077
90	0.3528105399
91	0.3513367106
92	0.3494763523
93	0.3480236506
94	0.3456445338
95	0.3446913248
96	0.3428176099
97	0.3415918068
98	0.3401442858
99	0.3387391818
100	0.337062354
101	0.3364877208
102	0.3349013529
103	0.333166485
104	0.3323394544
105	0.3310641311
106	0.3298621269
107	0.3285990875
108	0.3278996925
109	0.3271297914
110	0.3260838963
111	0.3253782683
112	0.325128785
